WKT,EH,TT,ÜT,Touristen,Gesamt
"MULTIPOLYGON (((8.71328569236798 50.5725443486926,8.71429493111452 50.5727679768144,8.71504412230976 50.5723638940589,8.71478406790568 50.5717361862268,8.71377483985813 50.5715125616188,8.71302565551578 50.5719166413292,8.71328569236798 50.5725443486926)))","3957","157","0","157","4114"
"MULTIPOLYGON (((8.71612733383316 50.5594908110641,8.71713640856699 50.5597144216464,8.71788545484415 50.5593102185222,8.71762541953916 50.5586824078604,8.71661635550178 50.5584588007924,8.71586731607309 50.558863000872,8.71612733383316 50.5594908110641)))","2851","151","151","302","3153"
"MULTIPOLYGON (((8.65301356813077 50.579694039866,8.65402239236654 50.5799181497633,8.65477176730027 50.579514572932,8.65451231110432 50.5788868892414,8.65350349753861 50.5786627828643,8.65275412949894 50.5790663566576,8.65301356813077 50.579694039866)))","10924","1124","1024","2148","13072"
"MULTIPOLYGON (((8.71315490590192 50.6186773913461,8.71416481011159 50.6189010015091,8.71491449636479 50.6184972701498,8.71465427154646 50.6178699316755,8.71364437804986 50.6176463250237,8.71289469865868 50.6180500533351,8.71315490590192 50.6186773913461)))","2519","819","119","938","3457"
"MULTIPOLYGON (((8.67992427798143 50.6181506209325,8.68093388922072 50.618374498706,8.6816836291155 50.6179710123362,8.68142375088723 50.6173436512367,8.68041415034366 50.6171197769781,8.67966441733277 50.6175232603041,8.67992427798143 50.6181506209325)))","6200","800","700","1500","7700"
"MULTIPOLYGON (((8.68730940544771 50.567354899455,8.68831834639025 50.5675787386306,8.68906752830262 50.5671748110955,8.68880776240354 50.5665470474263,8.687798832145 50.5663232117677,8.68704965710168 50.5667271362613,8.68730940544771 50.567354899455)))","14995","1495","1395","2890","17885"
"MULTIPOLYGON (((8.71902770194269 50.6063033089151,8.72003747759979 50.6065268769428,8.72078702051315 50.60612300756,8.72052678091385 50.6054955731976,8.71951701596907 50.6052720086813,8.71876747991142 50.6056758750161,8.71902770194269 50.6063033089151)))","12184","684","584","1268","13452"
"MULTIPOLYGON (((8.66283503619541 50.5413923376242,8.66384339246835 50.5416163840098,8.66459233972525 50.5412124428517,8.66433292382922 50.5405844583449,8.66332457821971 50.5403604154806,8.6625756378429 50.5407643536018,8.66283503619541 50.5413923376242)))","296541","4841","4441","9282","305823"
"MULTIPOLYGON (((8.69662998449995 50.625271768498,8.69763984225372 50.6254955089131,8.6983896288645 50.6250919514851,8.69812955084734 50.6244646566882,8.6971197038001 50.6242409197858,8.6963699240636 50.6246444741675,8.69662998449995 50.625271768498)))","20987","18087","14487","32574","53561"
"MULTIPOLYGON (((8.68310384603873 50.5726930303458,8.68411282789851 50.5729169011722,8.68486207448883 50.5725130456743,8.68460233234662 50.5718853223915,8.68359336117028 50.5716614550823,8.68284412145283 50.5720653075388,8.68310384603873 50.5726930303458)))","151960","38960","38860","77820","229780"
"MULTIPOLYGON (((8.70776984230698 50.6300178341548,8.70877986436452 50.6302414829411,8.70952968204577 50.6298378781247,8.70926947080175 50.6292106275701,8.70825945945799 50.628986982295,8.70750964864457 50.6293905840634,8.70776984230698 50.6300178341548)))","19909","7909","7609","15518","35427"
"MULTIPOLYGON (((8.68352368452655 50.5471275673887,8.6845323012159 50.5473514451796,8.68528127321895 50.546947392501,8.68502162166522 50.5463194650714,8.68401301565178 50.5460955907991,8.68326405051627 50.5464996404379,8.68352368452655 50.5471275673887)))","1447","147","0","147","1594"
"MULTIPOLYGON (((8.69151441711892 50.5620161027824,8.69252331713544 50.5622399103086,8.69327243437229 50.5618359107422,8.69301264472752 50.5612081066914,8.69200375539555 50.5609843026821,8.69125464502389 50.5613882992068,8.69151441711892 50.5620161027824)))","666467","266367","254167","520534","1187001"
"MULTIPOLYGON (((8.65978389274901 50.5583930301775,8.6607924678854 50.5586170942616,8.66154160257794 50.558213304975,8.66128215524878 50.5575854546419,8.66027359077945 50.5573613940783,8.65952446297235 50.5577651803275,8.65978389274901 50.5583930301775)))","1307","807","107","914","2221"
"MULTIPOLYGON (((8.61711085943765 50.5637291145748,8.6181191441622 50.5639535193675,8.6188684110878 50.5635500904764,8.61860938637433 50.5629222598252,8.61760111229636 50.5626978585575,8.61685185228536 50.5631012844161,8.61711085943765 50.5637291145748)))","2083","183","0","183","2266"
"MULTIPOLYGON (((8.65765041950946 50.5487950083834,8.6586588379079 50.5490190934687,8.65940787357563 50.5486152473338,8.65914848396011 50.5479873191504,8.65814007622466 50.5477632375864,8.65739104744186 50.5481670806847,8.65765041950946 50.5487950083834)))","16490","8590","7090","15680","32170"
"MULTIPOLYGON (((8.64935303124355 50.5486616891536,8.6503613763549 50.548885840966,8.65111042523245 50.5484820560095,8.6508511221084 50.5478541222762,8.64984278765573 50.5476299739861,8.64909374566857 50.548033755907,8.64935303124355 50.5486616891536)))","1045","145","0","145","1190"
"MULTIPOLYGON (((8.71393555784904 50.6205593743384,8.71494549597711 50.6207829774354,8.71569520103889 50.6203792545309,8.71543496111088 50.6197519315776,8.71442503369689 50.6195283319916,8.71367533549698 50.6199320518479,8.71393555784904 50.6205593743384)))","351817","147317","128617","275934","627751"
"MULTIPOLYGON (((8.64773901569603 50.5802322690684,8.6487478023132 50.5804564211413,8.64949719232538 50.5800528879337,8.64923778882281 50.5794252056907,8.64822901287312 50.5792010571385,8.64747962975862 50.5796045873087,8.64773901569603 50.5802322690684)))","384000","178100","121100","299200","683200"
"MULTIPOLYGON (((8.6932193071798 50.6148308418702,8.69422898463944 50.6150546140566,8.69497866521819 50.6146510028298,8.69471866146297 50.6140236224618,8.6937089947049 50.613799853789,8.69295932100059 50.6142034619706,8.6932193071798 50.6148308418702)))","420","420","320","740","1160"
"MULTIPOLYGON (((8.64485862321392 50.5510841815032,8.64586696457718 50.5513083684573,8.64661604731445 50.5509046355718,8.64635678179476 50.5502767187675,8.64534845108861 50.550052535336,8.64459937524514 50.5504562651864,8.64485862321392 50.5510841815032)))","4184","784","384","1168","5352"
"MULTIPOLYGON (((8.65056372347476 50.5848500325689,8.65157260106167 50.5850741600664,8.65232203560904 50.5846706407535,8.65206258567297 50.5840429969811,8.65105371875641 50.5838188730036,8.65030429110571 50.5842223892785,8.65056372347476 50.5848500325689)))","601843","247443","170743","418186","1020029"
"MULTIPOLYGON (((8.71115701238846 50.5452735349227,8.71216583945692 50.5454971912524,8.71291474240342 50.5450929174794,8.71265481143264 50.5444649904199,8.71164599505372 50.544241337606,8.71089709895618 50.5446456083358,8.71115701238846 50.5452735349227)))","9972","3772","2472","6244","16216"
"MULTIPOLYGON (((8.70724467754008 50.5535304124225,8.70825359012725 50.5537540968777,8.70900258845113 50.5533499150618,8.70874266733479 50.5527220518339,8.70773376543768 50.5524983708944,8.70698477396694 50.5529025496671,8.70724467754008 50.5535304124225)))","3816","216","116","332","4148"
"MULTIPOLYGON (((8.68479195152927 50.5479793646312,8.68580059138949 50.5482032318828,8.68654957025944 50.5477991761642,8.68628990240239 50.5471712562342,8.68528127321895 50.546947392501,8.6845323012159 50.5473514451796,8.68479195152927 50.5479793646312)))","332","132","132","264","596"
"MULTIPOLYGON (((8.63782900203361 50.5518020793983,8.63883729324399 50.5520263225415,8.63958639603888 50.5516226477982,8.63932720072493 50.5509947329461,8.63831892016821 50.5507704933263,8.63756982427191 50.5511741650353,8.63782900203361 50.5518020793983)))","620","420","0","420","1040"
"MULTIPOLYGON (((8.63519707764364 50.6030930226289,8.63620608639901 50.6033172662153,8.6369557437597 50.6029140006769,8.63669638545468 50.6022864945893,8.63568738736729 50.6020622545235,8.63493773691706 50.6024655170248,8.63519707764364 50.6030930226289)))","460","1160","260","1420","1880"
"MULTIPOLYGON (((8.71426397418637 50.5704807550648,8.71527319153502 50.5707043761588,8.71602235886914 50.5703002704092,8.71576230200292 50.5696725466108,8.71475309535317 50.5694489290307,8.71400393487088 50.5698530317351,8.71426397418637 50.5704807550648)))","274","174","0","174","448"
"MULTIPOLYGON (((8.65940787357563 50.5486152473338,8.66041630449436 50.5488393183679,8.66116533513358 50.5484354576973,8.66090592797042 50.5478075290295,8.65989750771558 50.5475834615166,8.65914848396011 50.5479873191504,8.65940787357563 50.5486152473338)))","1250","150","0","150","1400"
"MULTIPOLYGON (((8.65932045159069 50.5417520414163,8.66032878283325 50.5419761159013,8.66107774014946 50.5415722038122,8.66081835934078 50.5409442202746,8.65981003875996 50.5407201493113,8.65906108832621 50.5411240583639,8.65932045159069 50.5417520414163)))","165932","10732","10732","21464","187396"
