WKT,EH,TT,ÜT,Touristen,Gesamt
"MULTIPOLYGON (((8.73496395863193 50.5938747060793,8.73597369125444 50.5940981509727,8.73672307223423 50.5936940678069,8.73646271374887 50.5930665427971,8.73545299184309 50.592843101414,8.73470361770606 50.5932471815306,8.73496395863193 50.5938747060793)))","145227","52927","27527","80454","225681"
"MULTIPOLYGON (((8.68712903031389 50.5536304075144,8.68813777172553 50.5538542536966,8.68888680694947 50.5534502233471,8.68862709389548 50.5528223498561,8.68761836316357 50.5525985071917,8.68686933480606 50.5530025345005,8.68712903031389 50.5536304075144)))","254","254","0","254","508"
"MULTIPOLYGON (((8.70070228631834 50.5532201343435,8.70171113830905 50.5534438715435,8.70246014498082 50.5530397363858,8.70220029280454 50.5524118670707,8.70119145150044 50.5521881333871,8.70044245168608 50.5525922655024,8.70070228631834 50.5532201343435)))","181","481","181","662","843"
"MULTIPOLYGON (((8.65042007780713 50.6133127315698,8.65142936533039 50.6135368486091,8.65217910556446 50.6131335466082,8.65191955137289 50.6125061306077,8.65091027452858 50.6122820170868,8.65016054119696 50.612685316048,8.65042007780713 50.6133127315698)))","1315","315","115","430","1745"
"MULTIPOLYGON (((8.62598284644014 50.5696943286226,8.62699129365632 50.5699186597599,8.62774060896539 50.569515209636,8.62748147014847 50.5688874314087,8.6264730335853 50.568663103795,8.62572372518617 50.569066550885,8.62598284644014 50.5696943286226)))","2785","585","485","1070","3855"
"MULTIPOLYGON (((8.72761785462783 50.627005725364,8.72862800335998 50.627229215627,8.72937775309893 50.6268254392227,8.72911734725173 50.6261981756058,8.72810720924267 50.625974688852,8.72735746635783 50.6263784622059,8.72761785462783 50.627005725364)))","1019","219","0","219","1238"
"MULTIPOLYGON (((8.65638876646973 50.6078004153964,8.6573980256895 50.608024486707,8.65814769619388 50.6076210980765,8.65788810058122 50.6069936411757,8.65687885204184 50.6067695733831,8.65612918843485 50.6071729589734,8.65638876646973 50.6078004153964)))","55940","16640","14040","30680","86620"
"MULTIPOLYGON (((8.65286782672828 50.5483023942812,8.65387619689468 50.5485265179956,8.65462523572778 50.5481227039683,8.65436589750662 50.5474947692627,8.65335753800062 50.5472706490703,8.65260850605552 50.5476744600616,8.65286782672828 50.5483023942812)))","133079","80179","57479","137658","270737"
"MULTIPOLYGON (((8.68975640730126 50.5621962662189,8.69076529482446 50.5624200878093,8.69151441711892 50.5620161027824,8.69125464502389 50.5613882992068,8.69024576818438 50.5611644811335,8.68949665275635 50.5615684631189,8.68975640730126 50.5621962662189)))","461435","187335","168535","355870","817305"
"MULTIPOLYGON (((8.62405714792648 50.556151626134,8.62506538324359 50.5563759781651,8.62581455680793 50.5559724396766,8.62555548814675 50.55534455219,8.62454726347755 50.5551202036835,8.62379809682173 50.5555237391391,8.62405714792648 50.556151626134)))","26681","3081","181","3262","29943"
"MULTIPOLYGON (((8.67190698282152 50.6209302782887,8.67291656533515 50.6211542194038,8.67366634932366 50.6207508142454,8.67340654390892 50.6201234710147,8.67239697208769 50.6198995334152,8.67164719498894 50.6203029355307,8.67190698282152 50.6209302782887)))","263619","196719","163419","360138","623757"
"MULTIPOLYGON (((8.65479918700002 50.5618470960975,8.65580776908417 50.5620711988525,8.65655694958356 50.5616674731429,8.6562975411095 50.5610396477154,8.65528896969089 50.5608155484812,8.65453979608086 50.5612192711538,8.65479918700002 50.5618470960975)))","5344","544","344","888","6232"
"MULTIPOLYGON (((8.7086704904641 50.603439719161,8.70968013588486 50.6036633717271,8.71042966661445 50.6032595581793,8.7101695450614 50.6026320951118,8.70915991034672 50.6024084460583,8.70841038647915 50.6028122565597,8.7086704904641 50.603439719161)))","76843","10043","4143","14186","91029"
"MULTIPOLYGON (((8.73311009377147 50.5871951224342,8.73411971400571 50.5874185850082,8.73486902669518 50.5870144649987,8.73460871230791 50.5863868854638,8.73359910278739 50.5861634264006,8.73284979694057 50.5865675433616,8.73311009377147 50.5871951224342)))","3541","341","141","482","4023"
"MULTIPOLYGON (((8.61416906563615 50.5699162415054,8.61517741424166 50.5701406674474,8.61592675263156 50.5697373075853,8.61566773549833 50.5691095248137,8.61465939753978 50.5688851023966,8.61391006606764 50.5692884592263,8.61416906563615 50.5699162415054)))","10277","1277","1177","2454","12731"
"MULTIPOLYGON (((8.70728021197112 50.6310486665159,8.7082902447425 50.6312723188133,8.70904007437331 50.6308687255018,8.70877986436452 50.6302414829411,8.70776984230698 50.6300178341548,8.70702001954452 50.6304214244182,8.70728021197112 50.6310486665159)))","65957","8157","6957","15114","81071"
"MULTIPOLYGON (((8.67257755865094 50.5561026120693,8.67358621072767 50.5563265742419,8.67433529824975 50.5559226716924,8.67407572681867 50.5552948100093,8.67306708541489 50.555070851356,8.67231800476933 50.5554747508665,8.67257755865094 50.5561026120693)))","6349","1549","949","2498","8847"
"MULTIPOLYGON (((8.64632556717244 50.6078449665529,8.64733474042304 50.6080691187492,8.64808442918193 50.6076658058908,8.64782493778626 50.6070383438752,8.64681577521087 50.6068141951982,8.64606609335603 50.6072175050176,8.64632556717244 50.6078449665529)))","21488","1288","1088","2376","23864"
"MULTIPOLYGON (((8.66641328997648 50.5655673585433,8.66742202559492 50.5657913664483,8.66817122542492 50.5653875819326,8.66791168275412 50.5647597925507,8.66690295780829 50.5645357881651,8.66615376486076 50.5649395696421,8.66641328997648 50.5655673585433)))","16492","2392","1492","3884","20376"
"MULTIPOLYGON (((8.68323412496021 50.5442117705372,8.68424269712877 50.544435651829,8.6849916384326 50.5440315791975,8.68473200070075 50.5434036283138,8.68372343920702 50.5431797505408,8.6829745047704 50.5435838201328,8.68323412496021 50.5442117705372)))","3117","617","0","617","3734"
"MULTIPOLYGON (((8.68047698280096 50.5641283448872,8.68148581850993 50.5643522403101,8.68223497799223 50.5639483394793,8.68197529489277 50.5633205462663,8.6809664698633 50.5630966543615,8.68021731725389 50.5635005521518,8.68047698280096 50.5641283448872)))","8239","139","0","139","8378"
"MULTIPOLYGON (((8.62422509147242 50.5698734190225,8.62523352612776 50.5700977642082,8.62598284644014 50.5696943286226,8.62572372518617 50.569066550885,8.62471530118299 50.5688422092231,8.62396598778174 50.5692456417751,8.62422509147242 50.5698734190225)))","914","514","0","514","1428"
"MULTIPOLYGON (((8.64652988329159 50.5440418718162,8.64753813752688 50.5442660481583,8.64828714191334 50.5438622493089,8.64802788517331 50.5432342771523,8.64701964159385 50.543010104333,8.6462706440987 50.5434139001476,8.64652988329159 50.5440418718162)))","4955","755","255","1010","5965"
"MULTIPOLYGON (((8.72315986218474 50.5587682692298,8.72416898677285 50.558991823527,8.72491801272327 50.558587562242,8.72465790724203 50.5579597497055,8.72364879335379 50.5577361989219,8.72289977424706 50.5581404571614,8.72315986218474 50.5587682692298)))","937","1237","137","1374","2311"
"MULTIPOLYGON (((8.70395938347062 50.627465051466,8.70496933588466 50.6276887319846,8.70571913296037 50.6272851363117,8.70545897075237 50.6266578631676,8.70444902904937 50.6264341861607,8.7036992388435 50.6268377787863,8.70395938347062 50.627465051466)))","26094","2494","994","3488","29582"
"MULTIPOLYGON (((8.7138301532163 50.6313596035226,8.71484024669655 50.631583202967,8.71559006793981 50.631179562947,8.71532978883881 50.6305523265316,8.71431970607587 50.6303287305976,8.71356989169673 50.6307323675687,8.7138301532163 50.6313596035226)))","343531","191031","128931","319962","663493"
"MULTIPOLYGON (((8.6616549466971 50.5474036568602,8.66266337946957 50.5476277103217,8.66341239316596 50.5472238236167,8.663152967208 50.5465958864874,8.66214454510018 50.546371836547,8.6613955382858 50.5467757202148,8.6616549466971 50.5474036568602)))","678","178","0","178","856"
"MULTIPOLYGON (((8.68306329104695 50.6080210342611,8.68407278281548 50.6082448909617,8.68482240837976 50.6078413040908,8.68456253529582 50.6072138635628,8.68355305422153 50.6069900103773,8.68280343553709 50.6073935942047,8.68306329104695 50.6080210342611)))","5098","898","898","1796","6894"
"MULTIPOLYGON (((8.73379619490773 50.5822171512809,8.73480574911716 50.582440610383,8.73555500721025 50.5820364474341,8.73529470425279 50.5814088284315,8.73428516075591 50.5811853728405,8.73353590950405 50.5815895327411,8.73379619490773 50.5822171512809)))","1713","113","113","226","1939"
"MULTIPOLYGON (((8.68696172729889 50.6174320147756,8.6879713886197 50.6176558362318,8.68872110827619 50.6172522916632,8.68846115973286 50.616624928683,8.68745150911118 50.616401110741,8.68670179633381 50.616804652265,8.68696172729889 50.6174320147756)))","3270","270","270","540","3810"
"MULTIPOLYGON (((8.68281419875956 50.5697782472253,8.68382313606627 50.5700021215647,8.68457235193478 50.5695982461089,8.68431262362419 50.5689704993549,8.6833036969999 50.5687466285329,8.68255448800388 50.5691505009476,8.68281419875956 50.5697782472253)))","4510","610","310","920","5430"
"MULTIPOLYGON (((8.63333427060751 50.5542239104607,8.63434255803482 50.5544481887432,8.63509169466869 50.5540445660739,8.63483253697337 50.553416668156,8.63382426019819 50.5531923933973,8.63307513046631 50.5535960130327,8.63333427060751 50.5542239104607)))","58087","187","0","187","58274"
"MULTIPOLYGON (((8.70457072514572 50.5979725061817,8.70558025637597 50.5981961939918,8.7063297357772 50.597792369626,8.70606967708467 50.5971648604958,8.70506015655669 50.5969411761991,8.70431068401909 50.5973449975193,8.70457072514572 50.5979725061817)))","179062","20862","18362","39224","218286"
"MULTIPOLYGON (((8.70963574720357 50.6190375478233,8.71064562642705 50.6192611861611,8.71139532284707 50.6188574839038,8.71113513317929 50.6182301463564,8.71012526466712 50.6180065115303,8.70937557511153 50.61841021074,8.70963574720357 50.6190375478233)))","35024","5524","4124","9648","44672"
"MULTIPOLYGON (((8.61984885852015 50.5614875289,8.6208571345155 50.5617119125986,8.62160637262476 50.5613084461627,8.62134732782647 50.5606805990609,8.62033906247846 50.560456218887,8.61958983128154 50.5608596822903,8.61984885852015 50.5614875289)))","6688","488","488","976","7664"
"MULTIPOLYGON (((8.68430261668231 50.5490113172866,8.68531126721937 50.5492351880566,8.68606025800661 50.5488311438346,8.68580059138949 50.5482032318828,8.68479195152927 50.5479793646312,8.68404296760944 50.5483834058131,8.68430261668231 50.5490113172866)))","452","352","0","352","804"
"MULTIPOLYGON (((8.71093230614358 50.5845636963889,8.71194169824913 50.5847873385245,8.71269102247993 50.5843833646586,8.71243094774848 50.5837557517026,8.71142156634439 50.5835321130804,8.71067224897038 50.5839360839008,8.71093230614358 50.5845636963889)))","599574","229274","196174","425448","1025022"
"MULTIPOLYGON (((8.6902809052068 50.6210163609517,8.69129064687725 50.6212401542199,8.69204039911 50.6208366120213,8.69178040279481 50.6202092795998,8.69077067182633 50.6199854898452,8.69002092647118 50.6203890289986,8.6902809052068 50.6210163609517)))","22849","749","549","1298","24147"
"MULTIPOLYGON (((8.71041629369364 50.6209195280342,8.71142620683576 50.6211431593076,8.7121759220662 50.620739465506,8.71191571729042 50.6201121434787,8.71090581486065 50.6198885157167,8.71015610649449 50.6202922064706,8.71041629369364 50.6209195280342)))","35920","6820","4220","11040","46960"
"MULTIPOLYGON (((8.63030947982126 50.553551026479,8.63131773150034 50.5537753293284,8.6320668662383 50.5533717242284,8.63180774239342 50.5527438193127,8.6307995013647 50.5525195199875,8.63005037353062 50.552923122054,8.63030947982126 50.553551026479)))","1627","227","0","227","1854"
"MULTIPOLYGON (((8.71648779248285 50.604601265815,8.71749752175317 50.6048248549897,8.71824705095441 50.6044209917027,8.71798684402846 50.6037935422885,8.71697712546861 50.6035699566255,8.71622760312441 50.603973816865,8.71648779248285 50.604601265815)))","379303","144903","108803","253706","633009"
"MULTIPOLYGON (((8.69658940774845 50.5654224088352,8.6975984004727 50.565646174165,8.69834754516367 50.5652421624295,8.69808769026798 50.5646143884069,8.69707870823194 50.5643906265933,8.69632957040351 50.5647946352863,8.69658940774845 50.5654224088352)))","20840","3540","3140","6680","27520"
"MULTIPOLYGON (((8.65500057400685 50.5579004432,8.65600910090315 50.5581245459245,8.65675823876691 50.5577207887502,8.65649884284607 50.5570929318882,8.65549032661417 50.5568688326847,8.65474119563887 50.5572725868222,8.65500057400685 50.5579004432)))","3442","642","342","984","4426"
"MULTIPOLYGON (((8.60664795817646 50.5716627508586,8.60765626712451 50.5718872365042,8.6084056373896 50.5714839462994,8.60814669178371 50.5708561734805,8.60713839347928 50.5706316913604,8.60638903013725 50.5710349785337,8.60664795817646 50.5716627508586)))","465","265","0","265","730"
"MULTIPOLYGON (((8.68932004279045 50.6054196005032,8.69032955070907 50.605643407944,8.69107913721752 50.6052397544223,8.69081920893228 50.604612296504,8.68980971171032 50.6043884925778,8.68906013207706 50.6047921430553,8.68932004279045 50.6054196005032)))","6250","250","0","250","6500"
"MULTIPOLYGON (((8.65168682711139 50.554312856337,8.65269527377135 50.5545369871319,8.65344437905439 50.5541332275672,8.65318503078765 50.5535053402438,8.6521765947893 50.5532812129706,8.6514274963962 50.5536849694991,8.65168682711139 50.554312856337)))","22505","4405","3705","8110","30615"
"MULTIPOLYGON (((8.70099263831809 50.5561356674383,8.70200153485085 50.5563594011225,8.7027505722247 50.5559552859143,8.70249070620816 50.5553274400646,8.70148182036307 50.5551037098967,8.700732789847 50.5555078220623,8.70099263831809 50.5561356674383)))","975","175","0","175","1150"
"MULTIPOLYGON (((8.71414626948925 50.5989540391088,8.71515589705615 50.5991776494613,8.71590536986301 50.5987737608142,8.71564520824559 50.5981462648616,8.71463559138622 50.5979226580214,8.71388612543684 50.5983265436216,8.71414626948925 50.5989540391088)))","1646","946","346","1292","2938"
"MULTIPOLYGON (((8.62794351598159 50.5655693124048,8.62895192058604 50.5657936294476,8.6297011882427 50.5653901333079,8.62944204438713 50.5647623231592,8.62843365043544 50.56453800964,8.62768438968664 50.5649415027459,8.62794351598159 50.5655693124048)))","471454","285454","171354","456808","928262"
"MULTIPOLYGON (((8.71237429928004 50.6167953617933,8.7133841695732 50.6170189790211,8.71413383701845 50.6166152392068,8.71387362730856 50.6159878852127,8.71286376772751 50.6157642714964,8.71211410714439 50.6161680082628,8.71237429928004 50.6167953617933)))","1505","1105","305","1410","2915"
"MULTIPOLYGON (((8.70166503023317 50.5688284259531,8.70267411566453 50.5690521490736,8.70342328779888 50.5686481251656,8.70316336764212 50.5680203811807,8.70215429290261 50.5677966615756,8.7014051276281 50.5682006824402,8.70166503023317 50.5688284259531)))","768370","254470","243370","497840","1266210"
"MULTIPOLYGON (((8.65909302786377 50.5633712683747,8.66010166886216 50.563595336006,8.66085085810792 50.5631915896831,8.66059139946855 50.5625637787666,8.65958276913839 50.5623397146557,8.65883358677946 50.5627434579409,8.65909302786377 50.5633712683747)))","390542","99242","94442","193684","584226"
"MULTIPOLYGON (((8.65581151656474 50.6019737999928,8.65682068662268 50.6021978783294,8.6575702956087 50.6017944497545,8.65731072764028 50.6011669458827,8.65630156826068 50.6009428710646,8.65555196617126 50.6013462965998,8.65581151656474 50.6019737999928)))","534269","256269","144769","401038","935307"
"MULTIPOLYGON (((8.62030293947457 50.5781223959157,8.6213114593494 50.5783467692914,8.62206087497701 50.5779434257471,8.62180176381456 50.5773157118608,8.62079325459238 50.5770913420089,8.62004384588009 50.5774946825195,8.62030293947457 50.5781223959157)))","1941","141","0","141","2082"
"MULTIPOLYGON (((8.70322455143472 50.5725947785777,8.704233704607 50.5728184876188,8.70498291431642 50.5724144806191,8.70472296399412 50.5717867676222,8.70371382151565 50.5715630620962,8.70296461866578 50.5719670660521,8.70322455143472 50.5725947785777)))","783892","282692","253192","535884","1319776"
"MULTIPOLYGON (((8.60946898274102 50.5762814820915,8.61047738265196 50.5765059432289,8.61122679750728 50.5761026669408,8.6109678055297 50.5754749325476,8.60995941626525 50.5752504749352,8.60921000833204 50.5756537481911,8.60946898274102 50.5762814820915)))","634","234","0","234","868"
"MULTIPOLYGON (((8.6309687655598 50.5662422389605,8.63197720592826 50.56646653143,8.63272647548501 50.5660630177182,8.63246729776747 50.5654352145714,8.63145886805358 50.5652109256252,8.63070960540278 50.5656144363026,8.6309687655598 50.5662422389605)))","477440","285440","178040","463480","940920"
"MULTIPOLYGON (((8.64047309862229 50.6025558709526,8.64148214505808 50.6027800723528,8.64223178736233 50.6023767631793,8.64197237632406 50.6017492556436,8.6409633405588 50.6015250577635,8.64021370516144 50.6019283638992,8.64047309862229 50.6025558709526)))","542","142","0","142","684"
"MULTIPOLYGON (((8.66371349353469 50.6099961770647,8.66472284750412 50.6102201885776,8.66547252861613 50.6098167617307,8.66521284886583 50.6091893264122,8.66420350558124 50.6089653184164,8.66345383136223 50.6093687422221,8.66371349353469 50.6099961770647)))","4240","340","340","680","4920"
"MULTIPOLYGON (((8.69233065737291 50.6237494209071,8.69334045618066 50.6239731965497,8.69409023411093 50.6235696597652,8.6938302063568 50.622942350384,8.69282041825291 50.6227185782546,8.69207064719943 50.6231221119933,8.69233065737291 50.6237494209071)))","127914","79514","47314","126828","254742"
"MULTIPOLYGON (((8.70988829504436 50.5444219414575,8.71089709895618 50.5446456083358,8.71164599505372 50.544241337606,8.71138608038996 50.5436134030409,8.71037728716679 50.5433897396786,8.70962839791887 50.5437940073655,8.70988829504436 50.5444219414575)))","13261","44761","32761","77522","90783"
"MULTIPOLYGON (((8.61298461985952 50.5759238232049,8.61399304492406 50.5761482562494,8.61474244979444 50.5757449508835,8.61448342268069 50.5751172155058,8.61347500826434 50.5748927859861,8.61272561031368 50.5752960883193,8.61298461985952 50.5759238232049)))","615","115","0","115","730"
"MULTIPOLYGON (((8.65223526729509 50.577810974757,8.65324405765482 50.5780350916727,8.65399341377308 50.5776315063762,8.65373397263749 50.5770038072018,8.65272519294686 50.5767796938064,8.65197584372281 50.5771832760652,8.65223526729509 50.577810974757)))","6917","2117","1117","3234","10151"
"MULTIPOLYGON (((8.65335753800062 50.5472706490703,8.65436589750662 50.5474947692627,8.6551149244285 50.5470909437362,8.65485558495701 50.5464630010533,8.65384723611137 50.5462388843828,8.65309821607694 50.5466427068734,8.65335753800062 50.5472706490703)))","571968","285468","238968","524436","1096404"
"MULTIPOLYGON (((8.71385517063157 50.5960401320856,8.71486475359452 50.5962637459825,8.71561419566548 50.5958598373818,8.71535404791649 50.595232317931,8.71434447566002 50.5950087075466,8.71359504044617 50.5954126131006,8.71385517063157 50.5960401320856)))","67970","30170","12570","42740","110710"
"MULTIPOLYGON (((8.68899593417827 50.5426390456991,8.69000453314411 50.5428628813007,8.6907534473788 50.5424587535657,8.69049375578472 50.5418307932693,8.68948516749618 50.5416069611859,8.68873626012453 50.5420110858807,8.68899593417827 50.5426390456991)))","341","141","0","141","482"
"MULTIPOLYGON (((8.71783949759155 50.6299685907716,8.71884960533942 50.6301921585213,8.71959940445376 50.6297884778902,8.71933908895915 50.6291612325589,8.71832899193022 50.6289376683193,8.71757919967704 50.629341345901,8.71783949759155 50.6299685907716)))","545","145","145","290","835"
"MULTIPOLYGON (((8.66652589604678 50.5547586668779,8.66753447673393 50.5549826782364,8.66828356057752 50.5545788108392,8.66802405685382 50.5539509351216,8.66701548683606 50.5537269272831,8.66626640987276 50.5541307916423,8.66652589604678 50.5547586668779)))","305213","95113","82913","178026","483239"
"MULTIPOLYGON (((8.62748768025742 50.5489312598966,8.62849584104052 50.5491555872553,8.62924493125063 50.5487519682516,8.6289858537729 50.5481240249221,8.62797770363727 50.5478997010881,8.627228620332 50.5483033170589,8.62748768025742 50.5489312598966)))","2440","140","0","140","2580"
"MULTIPOLYGON (((8.70170995998653 50.6286757687704,8.70271991060632 50.6288994668886,8.70346972470743 50.6284958972732,8.70320958131728 50.6278686325866,8.70219964140768 50.6276449379803,8.70144983417815 50.6280485045486,8.70170995998653 50.6286757687704)))","9130","2530","2030","4560","13690"
"MULTIPOLYGON (((8.63546429449788 50.5638210616294,8.63647273865784 50.5640453189543,8.63722197436885 50.5636417531609,8.63696275901751 50.5630139330773,8.63595432551371 50.5627896792752,8.6352050967052 50.563193242034,8.63546429449788 50.5638210616294)))","2581","281","181","462","3043"
"MULTIPOLYGON (((8.65203366979311 50.5817564954094,8.65304251536914 50.5819806123468,8.65379191414757 50.5815770585224,8.65353246045494 50.5809493907985,8.65252362554909 50.5807252773812,8.65177423366579 50.5811288281676,8.65203366979311 50.5817564954094)))","4221","1321","921","2242","6463"
"MULTIPOLYGON (((8.66919135932624 50.6055136460343,8.67020069562049 50.6057376153363,8.67095031890838 50.6053341133727,8.67069059901368 50.6047066451489,8.66968127340575 50.6044826793638,8.66893165700634 50.6048861782858,8.66919135932624 50.6055136460343)))","4172","472","0","472","4644"
"MULTIPOLYGON (((8.66906210186417 50.5564624070389,8.67007072891922 50.5566863973254,8.67081982652132 50.5562825238512,8.67056029018954 50.5556546631292,8.66955167380575 50.5554306763624,8.66880258308258 50.555834546798,8.66906210186417 50.5564624070389)))","504561","229461","189961","419422","923983"
"MULTIPOLYGON (((8.65007371501697 50.5858811726458,8.65108260327429 50.5861053036634,8.65183204974521 50.5857017958547,8.65157260106167 50.5850741600664,8.65056372347476 50.5848500325689,8.6498142839011 50.5852535373396,8.65007371501697 50.5858811726458)))","1429582","174082","138782","312864","1742446"
"MULTIPOLYGON (((8.73799319213672 50.5945450160966,8.73900296039565 50.5947684363266,8.73975234311585 50.5943643355639,8.73949195073637 50.5937368176209,8.73848219319594 50.5935134009008,8.7377328173166 50.5939174986139,8.73799319213672 50.5945450160966)))","8250","2250","2050","4300","12550"
"MULTIPOLYGON (((8.70571913296037 50.6272851363117,8.70672909787703 50.6275088027421,8.70747888987369 50.6271051925168,8.70721871008518 50.6264779189087,8.70620875588041 50.6262542559899,8.70545897075237 50.6266578631676,8.70571913296037 50.6272851363117)))","272781","207381","124581","331962","604743"
"MULTIPOLYGON (((8.66018607252342 50.550499000942,8.66119453729024 50.5507230649665,8.66194358672585 50.5503192127577,8.66168416451114 50.5496912995616,8.66067571040918 50.549467239058,8.65992666785718 50.5498710882297,8.66018607252342 50.550499000942)))","2334","534","134","668","3002"
"MULTIPOLYGON (((8.67335625041697 50.5579861647206,8.67436493634966 50.558210119874,8.67511404266592 50.557806225784,8.67485445617322 50.5571783795799,8.67384578091449 50.5569544279457,8.67309668147461 50.5573583189965,8.67335625041697 50.5579861647206)))","436991","133891","116391","250282","687273"
"MULTIPOLYGON (((8.62177384529591 50.5750291757322,8.62278233321296 50.5752535385367,8.62353171309544 50.5748501604756,8.62327259814718 50.5742224226438,8.62226412088256 50.573998063363,8.62151474791387 50.5744014383904,8.62177384529591 50.5750291757322)))","1291","291","0","291","1582"
"MULTIPOLYGON (((8.65428184731092 50.5805458254706,8.65529069475357 50.5807699248283,8.65604007658074 50.5803663449589,8.65578060407197 50.5797386687699,8.65477176730027 50.579514572932,8.65402239236654 50.5799181497633,8.65428184731092 50.5805458254706)))","7080","1080","980","2060","9140"
"MULTIPOLYGON (((8.71689568920141 50.5790447428083,8.71790505275071 50.5792683392241,8.71865430715075 50.5788642787783,8.71839419114981 50.5782366249626,8.71738483830337 50.57801303206,8.71663559075512 50.5784170894598,8.71689568920141 50.5790447428083)))","1022","522","222","744","1766"
"MULTIPOLYGON (((8.6413986641755 50.575972866881,8.64240733474356 50.5761970716302,8.6431566902607 50.5757935536071,8.64289736830887 50.5751658338712,8.64188870840371 50.5749416326436,8.64113935978757 50.5753451476304,8.6413986641755 50.575972866881)))","3871","571","171","742","4613"
"MULTIPOLYGON (((8.74444503838271 50.5879934628601,8.74545476723385 50.5882168338573,8.74620406809057 50.5878126350176,8.74594363326092 50.5871850682308,8.74493391512957 50.5869617007431,8.74418462110817 50.5873658965328,8.74444503838271 50.5879934628601)))","287","187","187","374","661"
"MULTIPOLYGON (((8.61658352901579 50.5824252981169,8.61759207892892 50.5826496996376,8.61834154721904 50.5822464166583,8.61808245867747 50.5816187351919,8.61707391941635 50.5813943371951,8.61632445804489 50.5817976171409,8.61658352901579 50.5824252981169)))","40854","954","0","954","41808"
"MULTIPOLYGON (((8.64058975951638 50.5917535013267,8.64159865092739 50.5919777061856,8.64234817710964 50.5915743140729,8.64208880497637 50.5909467201386,8.64107992423268 50.5907225188004,8.64033040495506 50.591125907876,8.64058975951638 50.5917535013267)))","892","192","0","192","1084"
"MULTIPOLYGON (((8.64344464763773 50.5787078876843,8.64445337529035 50.5789320748865,8.64520275652732 50.5785285622941,8.64494340321163 50.5779008655363,8.64393468622384 50.5776766818553,8.64318531188704 50.5780801914109,8.64344464763773 50.5787078876843)))","6215","715","515","1230","7445"
"MULTIPOLYGON (((8.73019250856813 50.5580452696009,8.73120168298164 50.558268767606,8.73195068858195 50.5578644481597,8.73169051292998 50.5572366337547,8.73068134921972 50.5570131392625,8.72993235045832 50.5574174556624,8.73019250856813 50.5580452696009)))","2385","585","485","1070","3455"
"MULTIPOLYGON (((8.66302238371879 50.6149708376545,8.66403180365386 50.6151948526805,8.66478153940005 50.614791468818,8.66452184831686 50.614164072971,8.66351243906782 50.613940061462,8.66276271021606 50.6143434422831,8.66302238371879 50.6149708376545)))","16799","11799","10399","22198","38997"
"MULTIPOLYGON (((8.72713763619587 50.6103777304067,8.72814754029456 50.6106012314639,8.72889711238168 50.610197332288,8.72863677351907 50.6095699351043,8.72762688013813 50.6093464375574,8.72687731490216 50.6097503336839,8.72713763619587 50.6103777304067)))","3778","578","178","756","4534"
"MULTIPOLYGON (((8.66439153165808 50.5451601334759,8.66539995561544 50.5453841658438,8.66614894045475 50.544980241607,8.66588949445708 50.5443522880395,8.66488108116513 50.5441282591924,8.66413210320557 50.544532180392,8.66439153165808 50.5451601334759)))","640","240","140","380","1020"
"MULTIPOLYGON (((8.63188255548572 50.5995069078071,8.63289148388317 50.599731179491,8.63364110858544 50.5993279115558,8.63338179797843 50.5987003749732,8.63237288024614 50.5984761068105,8.63162326245582 50.5988793717092,8.63188255548572 50.5995069078071)))","5258","158","0","158","5416"
"MULTIPOLYGON (((8.64788368302906 50.5517567177913,8.64889206011684 50.5519808801705,8.64964114472803 50.5515771297138,8.64938184535959 50.5509492199135,8.64837347893067 50.5507250610565,8.64762440121144 50.5511288084776,8.64788368302906 50.5517567177913)))","255","155","0","155","410"
"MULTIPOLYGON (((8.65728163210881 50.5988809547298,8.65829077013202 50.5991050225109,8.65904034332859 50.5987015594194,8.65878077160704 50.5980740315865,8.65777164426196 50.5978499673239,8.65702207796042 50.5982534273757,8.65728163210881 50.5988809547298)))","675618","175218","125018","300236","975854"
"MULTIPOLYGON (((8.71491449636479 50.6184972701498,8.71592441306483 50.6187208662247,8.71667409423242 50.6183171203143,8.71641385183935 50.6176897813771,8.71540394585326 50.6174661888132,8.71465427154646 50.6178699316755,8.71491449636479 50.6184972701498)))","330564","142164","115264","257428","587992"
"MULTIPOLYGON (((8.61229042289996 50.5808999198086,8.61329891378477 50.5811243564282,8.6140483732317 50.5807210940556,8.61378933487279 50.5800933980963,8.61278085463737 50.5798689650011,8.61203140211161 50.5802722243409,8.61229042289996 50.5808999198086)))","1327","227","227","454","1781"
"MULTIPOLYGON (((8.6472196703132 50.5989258285191,8.64822872239402 50.5991499771705,8.64897831384481 50.5987465898425,8.64871884631317 50.5981190569016,8.64770980490528 50.5978949117699,8.64696022035621 50.5982982960594,8.6472196703132 50.5989258285191)))","1227","127","127","254","1481"
"MULTIPOLYGON (((8.64413672038101 50.5737310355961,8.64514538216769 50.5739552192475,8.64589470882883 50.5735516636774,8.64563536680466 50.5729239274924,8.64462671568161 50.5726997473625,8.64387739591922 50.5731032998961,8.64413672038101 50.5737310355961)))","574301","283001","172201","455202","1029503"
"MULTIPOLYGON (((8.65240882099889 50.5915296580905,8.65341781091311 50.5917537680422,8.65416731384857 50.5913502856319,8.6539078199731 50.5907226963086,8.65289884073224 50.5904985898764,8.65214934469358 50.5909020692481,8.65240882099889 50.5915296580905)))","415960","222460","145860","368320","784280"
